Iteration,Latency_ms
361,0.45
362,0.443
363,0.456
364,0.444
365,0.459
366,0.442
367,0.439
368,0.433
369,0.444
370,0.454
371,0.45
372,0.435
373,0.439
374,0.446
375,0.433
376,0.434
377,0.432
378,0.438
379,0.438
380,0.437
381,0.435
382,0.448
383,0.441
384,0.432
385,0.455
386,0.447
387,0.434
388,0.444
389,0.454
390,0.454
391,0.444
392,0.442
393,0.459
394,0.443
395,0.45
396,0.447
397,0.437
398,0.448
399,0.447
400,0.443
401,0.45
402,0.453
403,0.458
404,0.432
405,0.435
406,0.442
407,0.45
408,0.453
409,0.437
410,0.432
411,0.449
412,0.447
413,0.445
414,0.443
415,0.434
416,0.443
417,0.432
418,0.441
419,0.451
420,0.443
421,0.442
422,0.445
423,0.453
424,0.445
425,0.441
426,0.432
427,0.452
428,0.432
429,0.456
430,0.444
431,0.44
432,0.447
433,0.45
434,0.433
435,0.444
436,0.45
437,0.44
438,0.455
439,0.453
440,0.431
441,0.45
442,0.456
443,0.447
444,0.455
445,0.44
446,0.45
447,0.444
448,0.455
449,0.454
450,0.459
451,0.455
452,0.456
453,0.434
454,0.438
455,0.452
456,0.431
457,0.456
458,0.458
459,0.433
460,0.431
461,0.444
462,0.458
463,0.454
464,0.459
465,0.452
466,0.44
467,0.457
468,0.44
469,0.436
470,0.44
471,0.447
472,0.44
473,0.435
474,0.436
475,0.447
476,0.443
477,0.448
478,0.454
479,0.439
480,0.452
481,0.446
482,0.445
483,0.437
484,0.457
485,0.444
486,0.445
487,0.437
488,0.449
489,0.438
490,0.443
491,0.45
492,0.432
493,0.452
494,0.433
495,0.456
496,0.447
497,0.431
498,0.455
499,0.435
500,0.434
501,0.44
502,0.452
503,0.446
504,0.45
505,0.446
506,0.431
507,0.451
508,0.451
509,0.447
510,0.433
511,0.44
512,0.43
513,0.444
514,0.438
515,0.443
516,0.45
517,0.431
518,0.432
519,0.459
520,0.43
521,0.443
522,0.458
523,0.458
524,0.455
525,0.447
526,0.447
527,0.43
528,0.448
529,0.449
530,0.453
531,0.44
532,0.437
533,0.444
534,0.457
535,0.438
536,0.453
537,0.437
538,0.431
539,0.45
540,0.43
541,0.448
542,0.433
543,0.454
544,0.455
545,0.43
546,0.431
547,0.454
548,0.455
549,0.446
550,0.442
551,0.44
552,0.443
553,0.455
554,0.436
555,0.456
556,0.436
557,0.457
558,0.436
559,0.437
560,0.457
561,0.451
562,0.449
563,0.451
564,0.456
565,0.432
566,0.437
567,0.432
568,0.457
569,0.436
570,0.435
571,0.441
572,0.433
573,0.439
574,0.449
575,0.435
576,0.449
577,0.452
578,0.436
579,0.435
580,0.453
581,0.442
582,0.444
583,0.434
584,0.454
585,0.452
586,0.437
587,0.459
588,0.432
589,0.453
590,0.457
591,0.453
592,0.441
593,0.455
594,0.447
595,0.448
596,0.455
597,0.438
598,0.433
599,0.432
600,0.454
601,0.431
602,0.431
603,0.445
604,0.439
605,0.435
606,0.441
607,0.45
608,0.436
609,0.444
610,0.455
611,0.443
612,0.43
613,0.458
614,0.449
615,0.451
616,0.443
617,0.444
618,0.447
619,0.444
620,0.436
621,0.443
622,0.436
623,0.455
624,0.432
625,0.448
626,0.441
627,0.43
628,0.443
629,0.451
630,0.455
631,0.445
632,0.432
633,0.432
634,0.441
635,0.437
636,0.454
637,0.438
638,0.442
639,0.453
640,0.436
641,0.443
642,0.45
643,0.443
644,0.435
645,0.432
646,0.438
647,0.44
648,0.457
649,0.452
650,0.432
651,0.435
652,0.459
653,0.441
654,0.43
655,0.458
656,0.435
657,0.44
658,0.457
659,0.439
660,0.44
661,0.455
662,0.433
663,0.454
664,0.451
665,0.44
666,0.454
667,0.438
668,0.435
669,0.459
670,0.432
671,0.445
672,0.434
673,0.431
674,0.433
675,0.449
676,0.445
677,0.458
678,0.442
679,0.457
680,0.459
681,0.436
682,0.431
683,0.437
684,0.447
685,0.451
686,0.459
687,0.44
688,0.433
689,0.444
690,0.451
691,0.447
692,0.455
693,0.443
694,0.453
695,0.452
696,0.454
697,0.451
698,0.452
699,0.439
700,0.43
701,0.458
702,0.437
703,0.434
704,0.455
705,0.436
706,0.448
707,0.44
708,0.447
709,0.457
710,0.454
711,0.453
712,0.441
713,0.443
714,0.436
715,0.453
716,0.44
717,0.431
718,0.439
719,0.43
720,0.444
721,0.442
722,0.459
723,0.433
724,0.431
725,0.444
726,0.448
727,0.452
728,0.43
729,0.435
730,0.455
731,0.439
732,0.433
733,0.452
734,0.438
735,0.457
736,0.454
737,0.458
738,0.431
739,0.444
740,0.453
741,0.435
742,0.435
743,0.432
744,0.456
745,0.448
746,0.459
747,0.452
748,0.459
749,0.435
750,0.459
751,0.444
752,0.445
753,0.43
754,0.455
755,0.438
756,0.458
757,0.43
758,0.431
759,0.433
760,0.442
761,0.452
762,0.432
763,0.437
764,0.44
765,0.433
766,0.451
767,0.433
768,0.453
769,0.447
770,0.45
771,0.459
772,0.435
773,0.445
774,0.458
775,0.433
776,0.457
777,0.448
778,0.433
779,0.437
780,0.459
781,0.433
782,0.439
783,0.431
784,0.458
785,0.432
786,0.438
787,0.45
788,0.441
789,0.448
790,0.444
791,0.438
792,0.446
793,0.43
794,0.459
795,0.433
796,0.44
797,0.43
798,0.458
799,0.437
800,0.436
801,0.453
802,0.435
803,0.436
804,0.435
805,0.448
806,0.443
807,0.439
808,0.434
809,0.458
810,0.433
811,0.459
812,0.437
813,0.446
814,0.454
815,0.445
816,0.438
817,0.456
818,0.431
819,0.455
820,0.445
821,0.441
822,0.449
823,0.446
824,0.444
825,0.435
826,0.454
827,0.432
828,0.435
829,0.433
830,0.432
831,0.456
832,0.448
833,0.452
834,0.456
835,0.456
836,0.443
837,0.439
838,0.434
839,0.445
840,0.446
841,0.452
842,0.455
843,0.433
844,0.435
845,0.446
846,0.436
847,0.441
848,0.434
849,0.454
850,0.436
851,0.452
852,0.456
853,0.458
854,0.452
855,0.435
856,0.445
857,0.451
858,0.45
859,0.451
860,0.445
861,0.431
862,0.457
863,0.446
864,0.44
865,0.43
866,0.452
867,0.434
868,0.433
869,0.433
870,0.456
871,0.442
872,0.458
873,0.432
874,0.433
875,0.454
876,0.443
877,0.444
878,0.453
879,0.436
880,0.458
881,0.454
882,0.447
883,0.443
884,0.449
885,0.458
886,0.44
887,0.45
888,0.448
889,0.458
890,0.45
891,0.435
892,0.441
893,0.454
894,0.453
895,0.446
896,0.433
897,0.459
898,0.452
899,0.451
900,0.449
901,0.448
902,0.452
903,0.433
904,0.444
905,0.43
906,0.432
907,0.453
908,0.451
909,0.449
910,0.438
911,0.439
912,0.448
913,0.459
914,0.431
915,0.433
916,0.445
917,0.431
918,0.444
919,0.432
920,0.445
921,0.453
922,0.438
923,0.439
924,0.432
925,0.458
926,0.447
927,0.45
928,0.451
929,0.454
930,0.458
931,0.431
932,0.459
933,0.443
934,0.445
935,0.439
936,0.437
937,0.439
938,0.458
939,0.43
940,0.451
941,0.444
942,0.457
943,0.445
944,0.445
945,0.445
946,0.43
947,0.439
948,0.432
949,0.438
950,0.432
951,0.434
952,0.435
953,0.44
954,0.434
955,0.454
956,0.44
957,0.455
958,0.431
959,0.431
960,0.455
961,0.459
962,0.44
963,0.438
964,0.433
965,0.438
966,0.437
967,0.442
968,0.446
969,0.439
970,0.443
971,0.448
972,0.441
973,0.44
974,0.443
975,0.433
976,0.458
977,0.444
978,0.458
979,0.43
980,0.431
981,0.455
982,0.444
983,0.451
984,0.453
985,0.437
986,0.453
987,0.445
988,0.438
989,0.435
990,0.446
991,0.459
992,0.43
993,0.448
994,0.439
995,0.443
996,0.436
997,0.45
998,0.436
999,0.439
